KEY,VALUE
"Holidays -> New Years",189
"Industries -> Architecture",89
"Industries -> Power and energy",97
"Travel -> Flags",68
"Nature -> Flowers & Gardens",25
"Arts & Architecture -> Ruins & Ancient",174
"Business -> Finance",80
"Business -> People",75
"Illustrations & Clipart -> Hand drawn & Artistic",167
"Travel -> Cruise",62
"Abstract -> Power",47
"Holidays -> Thanksgiving",191
"Holidays -> Diwali",203
"Abstract -> Success",52
"Business -> Industries",77
"Abstract -> Blurs",39
"Industries -> Travel",88
"Technology -> Connections",106
"Objects -> Tools",140
"Animals -> Wildlife",168
"Editorial -> Events",179
"Objects -> Clothing & Accessories",142
"Industries -> Construction",90
"Abstract -> Teamwork",53
"People -> Teens",120
"Holidays -> Christmas",190
"People -> Expressions",159
"Animals -> Farm",33
"Nature -> Mountains",15
"Editorial -> People",180
"Editorial -> Weather & Environment",183
"Abstract -> Aerial",211
"Illustrations & Clipart -> Illustrations",163
"Abstract -> Stress",51
"Arts & Architecture -> Night scenes",130
"Technology -> Computers",105
"Editorial -> Commercial",185
"Abstract -> Mobile",187
"Holidays -> Mardi Gras",206
"Objects -> Music and sound",151
"Nature -> Water",171
"Business -> Objects",84
"Nature -> Food ingredients",28
"Abstract -> Luxury",45
"Animals -> Marine life",34
"Abstract -> Religion",128
"Industries -> Transportation",98
"Abstract -> Security",49
"IT & C -> Connectivity",110
"Industries -> Communications",94
"Abstract -> Colors",164
"Abstract -> Love",149
"IT & C -> Internet",111
"Objects -> Electronics",147
"Travel -> Asia",57
"Abstract -> Seasonal & Holiday",155
"Travel -> Europe",59
"Abstract -> Danger",42
"Travel -> America",58
"Abstract -> Peace",46
"Nature -> Fruits & Vegetables",137
"Abstract -> Craftsmanship",41
"Animals -> Pets",30
"Abstract -> Help",44
"Nature -> Geologic and mineral",143
"Abstract -> Planetarium",165
"Industries -> Healthcare & Medical",92
"Holidays -> Chinese New Year",204
"Business -> Transportation",82
"Technology -> Electronics",129
"Editorial -> Sports",182
"People -> Children",119
"Industries -> Entertainment",136
"Illustrations & Clipart -> Vector",186
"Nature -> Plants and trees",12
"Technology -> Telecommunications",104
"Web Design Graphics -> Banners",201
"Abstract -> Backgrounds",112
"Business -> Metaphors",83
"People -> Portraits",162
"Travel -> Resorts",64
"Industries -> Cargo & Shipping",93
"Holidays -> Fathers Day",196
"Holidays -> Easter",193
"Arts & Architecture -> Generic architecture",71
"Objects -> Isolated",135
"Editorial -> Politics",181
"Holidays -> Valentines Day",194
"Travel -> Cuisine",63
"Arts & Architecture -> Indoor",73
"Business -> Computers",78
"Nature -> Lakes and rivers",16
"Nature -> Tropical",20
"Abstract -> Exploration",43
"People -> Seniors",121
"People -> Workers",160
"Arts & Architecture -> Work places",154
"Abstract -> Competition",40
"Animals -> Birds",31
"Abstract -> Fun",158
"Industries -> Manufacturing",100
"Abstract -> Unique",54
"Arts & Architecture -> Historic buildings",132
"People -> Active",123
"Travel -> Antarctica",176
"Industries -> Sports",157
"Industries -> Insurance",96
"Arts & Architecture -> Details",124
"People -> Women",116
"Objects -> Toys",134
"Nature -> Landscapes",146
"Abstract -> Sports",50
"Holidays -> Mothers Day",195
"Nature -> Fields & Meadows",27
"Travel -> Currencies",67
"Industries -> Food & Beverages",127
"Travel -> Arts & Architecture",65
"IT & C -> Equipment",113
"Objects -> Retro",152
"Holidays -> Other",202
"Animals -> Rodents",37
"People -> Nudes",173
"Holidays -> Halloween",192
"IT & C -> Artificial Intelligence",210
"IT & C -> Networking",109
"People -> Men",117
"Web Design Graphics -> Web Backgrounds & Textures",199
"Nature -> Forests",18
"Travel -> Australasian",60
"Technology -> Other",148
"Web Design Graphics -> Buttons",200
"Business -> Travel",85
"Web Design Graphics -> Web Icons",198
"Holidays -> Hanukkah",208
"Objects -> Home related",138
"Industries -> Agriculture",101
"Nature -> Clouds and skies",22
"People -> Families",118
"People -> Body parts",139
"Editorial -> Landmarks",184
"Arts & Architecture -> Outdoor",72
"Nature -> Waterfalls",24
"Arts & Architecture -> Modern buildings",131
"Nature -> Generic vegetation",11
"Nature -> Sunsets & Sunrises",23
"Objects -> Other",145
"Abstract -> Textures",141
"Abstract -> Purity",48
"Travel -> Tropical",66
"Animals -> Reptiles & Amphibians",35
"Technology -> Science",209
"Arts & Architecture -> Home",153
"Industries -> Environment",99
"Business -> Teams",76
"Industries -> Legal",95
"Nature -> Sea & Ocean",19
"Objects -> Sports",156
"People -> Couples",115
"Travel -> Destination scenics",61
"Business -> Communications",79
"Business -> Still-life",81
"Nature -> Deserts",17
"Objects -> Still life",144
"Holidays -> Cinco de Mayo",207
"Industries -> Military",102
"People -> Diversity",122
"Industries -> Computers",91
"Illustrations & Clipart -> 3D & Computer generated",166
"Editorial -> Celebrities",178
"Technology -> Retro",107
"Animals -> Insects",36
"Industries -> Oil and gas",161
"People -> Cosmetic & Makeup",175
"Nature -> Details",14
"Nature -> Seasons specific",26
"Animals -> Mammals",32
"Industries -> Banking",87
"Travel -> Africa",56
"Arts & Architecture -> Landmarks",70
"Holidays -> Ramadan",205
,0
