Banka,typ,šířka,výška,rozlišení
ShutterStock,Photo,0,0,4
ShutterStock,Video,1920,1080,0
ShutterStock,Vector,2000,2000,0
BigStockPhoto,Photo,0,0,2
AdobeStock,Photo,0,0,4
AdobeStock,Video,1920,1080,0
AdobeStock,Vector,2000,2000,0
DepositPhotos,Photo,2400,1600,3.4
DepositPhotos,Video,320,240,0
123RF,Photo,0,0,6
Alamy,Photo,0,0,6
GettyImages,Photo,960,720,1
GettyImages,Video,1920,1080,0
ColourBox,Photo,2500,1000,2
Dreamstime,Photo,0,0,3
Dreamstime,Video,1280,720,0
Dreamstime,Vector,2000,2000,0
CanStockPhoto,Photo,2000,1500,3
Pond5,Photo,0,0,4
Pond5,Video,1920,1080,0
Pixta,Photo,0,0,4
Freepik,Photo,0,0,3
Freepik,Vector,0,0,0
Vecteezy,Photo,0,0,3
Vecteezy,Vector,2000,2000,0
StoryBlocks,Video,1920,1080,0
Envato,Photo,0,0,3
500px,Photo,0,0,3
MostPhotos,Photo,0,0,3
